n_components,covariance_type,aic,bic,silhouette_score,mse
1,full,11552.823710872024,11994.75791472764,-1.0,0.5445544554455446
1,tied,11552.823710872024,11994.75791472764,-1.0,0.5445544554455446
1,diag,12094.274515710566,12198.259034264827,-1.0,0.5445544554455446
1,spherical,12068.274515710566,12123.980507793207,-1.0,0.5445544554455446
2,full,7531.463120176933,8419.045260693672,0.13489186073940693,0.7194719471947195
2,tied,7476.61940470044,7974.259600638696,0.13489186073940693,0.7194719471947195
2,diag,11510.075672929574,11721.758442843608,0.1687741420704526,0.8778877887788779
2,spherical,11656.96750009831,11772.0932170691,0.1536012014708349,0.8481848184818482
3,full,7722.682870517208,9055.912947695071,0.12888596967486973,1.5775577557755776
3,tied,7336.855151626736,7890.201339647632,0.09673847752607777,1.4059405940594059
3,diag,7473.11688431899,7792.497905592795,0.13973005174675077,1.4224422442244224
3,spherical,11516.55327137974,11691.09871323868,0.0953242789162806,0.9207920792079208
4,full,5216.534361766766,6995.412375605753,0.07393799503341025,1.5214521452145215
4,tied,7328.839074563082,7937.891254666619,0.08208537090050926,1.768976897689769
4,diag,5254.097207011078,5681.176479644656,0.07404114202258791,1.495049504950495
4,spherical,11477.009487846424,11710.974654593514,0.07731596177005032,2.145214521452145
5,full,6487.780993007534,8712.306943507645,0.07968236138691134,4.115511551155116
5,tied,7198.569408876694,7863.327581062871,0.0889072720395329,4.234323432343234
5,diag,5250.928549833662,5785.706073827011,0.08170021268368349,5.102310231023102
5,spherical,11330.445122581188,11623.830014216428,0.039836770413222596,5.673267326732673
6,full,3450.0919760612182,6120.265863222454,0.07032607069238325,4.478547854785479
6,tied,7226.051350133082,7946.5155144019,0.08390828508506168,7.072607260726072
6,diag,4136.2171327727465,4778.692908125867,0.09684695670184316,7.653465346534653
6,spherical,11262.940426086956,11615.745042610346,0.04324667928496757,9.917491749174918
7,full,3093.8025322614963,6209.6243560838575,0.06605601290479168,11.491749174917492
7,tied,7140.5340805582455,7916.7042369097035,0.06862305082786203,11.495049504950495
7,diag,2190.3227307521806,2940.496757465073,0.05402849372690697,13.290429042904291
7,spherical,11223.106341643268,11635.330683054808,0.04609369581804362,11.465346534653465
8,full,2407.7945647985475,5969.264325282032,0.09747722827212307,9.32013201320132
8,tied,7180.12122292673,8011.997371360829,0.10404608285222694,12.07920792079208
8,diag,1264.0845095695745,2121.956787642239,0.05815900710889314,12.029702970297029
8,spherical,11208.1963507049,11679.84041700459,0.05441458789214633,13.762376237623762
9,full,5177.967562504857,9185.085259649466,0.06419934793511486,11.161716171617162
9,tied,3282.897430201371,4170.47957071811,0.08645298658113136,23.09240924092409
9,diag,906.1856608729081,1871.756190305344,0.05739931048568089,24.14851485148515
9,spherical,11200.556122108452,11731.619913296292,0.05665395798970869,17.165016501650165
10,full,3893.2474154775628,8346.013049283296,0.08732336635405885,15.478547854785479
10,tied,3251.0504848961564,4194.338617495536,0.0788330366460617,20.046204620462046
10,diag,667.8753661459555,1741.144146938163,0.07122790936100178,19.980198019801982
10,spherical,11159.746952209893,11750.230468285883,0.046391551246332534,19.02970297029703
